kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: 없음 | spcl_cnd: *만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: b-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: 없음 | spcl_cnd: *만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: * 최대우대금리 : 0.1% - 3명 이상 창구 방문하여 1년이상 적금 가입시 : 연 0.1% - 적금 만기해지 후 1년이상 정기예금 및 적금 신규 가입시 : 연 0.1% | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: e-행복정기적금(인터넷) | join_way: 인터넷 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: - 없음 | join_deny: 1 | join_member: 개인 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: 비대면정기적금(비대면) | join_way: 스마트폰 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: - 없음 | join_deny: 1 | join_member: 개인 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: 톡톡정기적금(모바일) | join_way: 모집인 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: - 없음 | join_deny: 1 | join_member: 개인 | max_limit: None
kor_co_nm: 푸른상호저축은행 | fin_prdt_nm: 푸른 정기적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기 후 보통예금 금리에 연동 (단, 만기 1개월 경과시점까지는 약정금리와 동일상품의 만기시점 고시금리 중 낮은 금리 적용) | spcl_cnd: - | join_deny: 1 | join_member: 제한 없음 | max_limit: None
kor_co_nm: 푸른상호저축은행 | fin_prdt_nm: 프리스타일 적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기 후 보통예금 금리에 연동 (단, 만기 1개월 경과시점까지는 약정금리와 동일상품의 만기시점 고시금리 중 낮은 금리 적용) | spcl_cnd: - | join_deny: 1 | join_member: 개인 | max_limit: 500000000
kor_co_nm: HB저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: 스마트 정기적금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: 키워드림 정기적금 | join_way: 영업점 | mtrt_int: *만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 *만기후 1개월 초과 : 만기시점 보통예금 이율 | spcl_cnd: *인터넷뱅킹, 스마트뱅킹, 비대면 가입시 우대금리 적용 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: 키워드림 e-정기적금 (인터넷뱅킹, 스마트뱅킹) | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 *만기후 1개월 초과 : 만기시점 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: SB톡톡 키워드림 정기적금 (비대면) | join_way: 스마트폰 | mtrt_int: *만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 *만기후 1개월 초과 : 만기시점 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 더케이저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: -30일 이내 : 약정금리와 현행 고시금리중 낮은 이율 -30일 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 더케이저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: -30일 이내 : 약정금리와 현행 고시금리중 낮은 이율 -30일 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 조은저축은행 | fin_prdt_nm: 정기적금(서울본점) | join_way: 영업점 | mtrt_int: - 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리 '- 1개월초과 이후 해지: 보통예금 이율 | spcl_cnd: *최고우대금리 : 0.1% -자영업자, 직장인(증빙서류제출-재직증명서, 사업자등록증, 명함, 사원카드) : 0.1% | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 조은저축은행 | fin_prdt_nm: 정기적금(여수지점) | join_way: 영업점 | mtrt_int: - 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리 '- 1개월초과 이후 해지: 보통예금 이율 | spcl_cnd: *최고우대금리 : 0.1% -자영업자, 직장인(증빙서류제출-재직증명서, 사업자등록증, 명함, 사원카드) : 0.1% | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 조은저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리 '- 1개월초과 이후 해지: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 에스비아이저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 약정금리와 만기시 동기간 금리 중 낮은 금리  - 만기 후 1개월 초과: 보통예금이율 | spcl_cnd: - 장애인 등록고객 시 : 연0.2% * 월 1백만원 이하, 12개월 약정시  - SBI패밀리 멤버쉽 최초 가입 당일 적금 가입 시 1인 1계좌 우대금리 적용 : 연 0.1% | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 에스비아이저축은행 | fin_prdt_nm: 자유적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 약정금리  - 만기 후 1개월 초과: 연0.2% | spcl_cnd: - 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1%  - 자동연장 시 추가 우대금리 : 연0.05% | join_deny: 1 | join_member: 제한없음 | max_limit: 3000000
kor_co_nm: 바로저축은행 | fin_prdt_nm: 정기적금(월수) | join_way: 영업점 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리  * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한 없음 | max_limit: None
kor_co_nm: 바로저축은행 | fin_prdt_nm: 스마트정기적금(인터넷) | join_way: 인터넷 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리  * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한 없음 | max_limit: None
kor_co_nm: 바로저축은행 | fin_prdt_nm: SB톡톡 정기적금(비대면) | join_way: 스마트폰 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리 * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한 없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: 퍼스트유 정기적금 | join_way: 영업점 | mtrt_int: - 1개월 까지 : 당초 약정이율과 만기 시 약정이율을 비교하여 낮은 금리 적용  - 1개월 초과 : 연0.1% | spcl_cnd: [※유의사항]  -가입대상: 당행 첫거래 고객  -1인 1계좌 / 영업점 전용상품  -인터넷뱅킹가입 필수 (미성년자 제외)  -가입금액: 최대 월 불입액 20만원 | join_deny: 3 | join_member: 개인 (당행 첫거래 고객) | max_limit: 200000
kor_co_nm: 다올저축은행 | fin_prdt_nm: 직장인YES 정기적금 | join_way: 영업점 | mtrt_int: - 1개월 까지 : 당초 약정이율과 만기 시 약정이율을 비교하여 낮은 금리 적용  - 1개월 초과 : 연0.1% | spcl_cnd: [※유의사항]  -가입대상: 직장인 (증빙서류 제출)  -1인 1계좌 / 영업점 전용상품  -인터넷뱅킹가입 필수  -가입금액: 최대 월 불입액 30만원 | join_deny: 3 | join_member: 개인 (직장인) | max_limit: 300000
kor_co_nm: 다올저축은행 | fin_prdt_nm: 아이사랑 정기적금 | join_way: 영업점 | mtrt_int: - 1개월 까지 : 당초 약정이율과 만기 시 약정이율을 비교하여 낮은 금리 적용  - 1개월 초과 : 연0.1% | spcl_cnd: [※유의사항]  -가입대상: 만7세 이하 미성년자  -1인 1계좌 / 영업점 전용상품 (부모님 내방)  -필요서류: 자녀 명의 가족관계서류, 기본증명서, 도장, 부모신분증  -부모님 인터넷뱅킹가입 필수  -가입금액: 최대 월 불입액 10만원 | join_deny: 3 | join_member: 개인 (만 7세 이하 미성년자) | max_limit: 100000
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 정기적금 (대면) | join_way: 영업점 | mtrt_int: - 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 정기적금 (비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 응답하라2030정기적금 | join_way: 영업점 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: *만20~30대만 가입가능 (나이제한) | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 씨앗정기적금 | join_way: 영업점 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 정기적금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: None
kor_co_nm: 고려저축은행 | fin_prdt_nm: 보고파 정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: 1000000
kor_co_nm: 고려저축은행 | fin_prdt_nm: 마이버킷 정기적금 | join_way: 스마트폰 | mtrt_int: *2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%) *2019.07.01 가입분부터  1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율 1개월초과: 보통예금이자율(현재0.1%) | spcl_cnd: - | join_deny: 1 | join_member: 비거주 외국인 외 제한없음 | max_limit: 1000000
kor_co_nm: 국제저축은행 | fin_prdt_nm: 꿈 찾아 정기적금 | join_way: 영업점 | mtrt_int: 만기후 1개월까지는 계약당시 금리와 만기시점 해당금리를 비교하여 낮은 금리 적용 만기후 1개월 초과 이후로는 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 국제저축은행 | fin_prdt_nm: 꿈 찾아 정기적금(비대면) | join_way: 스마트폰 | mtrt_int: 만기후 1개월까지는 계약당시 금리와 만기시점 해당금리를 비교하여 낮은 금리 적용 만기후 1개월 초과 이후로는 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 만 19세 이상의 개인 | max_limit: 2000000
kor_co_nm: 디에이치저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 1개월이하 : 약정이율 범위 내 현행이율 - 1개월초과 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 디에이치저축은행 | fin_prdt_nm: 정기적금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월이하 : 약정이율 범위 내 현행이율 - 1개월초과 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율 - 1개월 초과: 현행 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: E-정기적금 | join_way: 인터넷 | mtrt_int: - 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율 - 1개월 초과: 현행 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: S-정기적금 | join_way: 스마트폰 | mtrt_int: - 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율 - 1개월 초과: 현행 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 흥국저축은행 | fin_prdt_nm: 정기적금(자유적립식) | join_way: 영업점 | mtrt_int: - 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율 - 1개월 초과: 현행 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: 30000000
kor_co_nm: 흥국저축은행 | fin_prdt_nm: 비대면 정기적금 | join_way: 스마트폰 | mtrt_int: - 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율 - 1개월 초과: 현행 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 우리저축은행 | fin_prdt_nm: 정기적금(월수) | join_way: 영업점 | mtrt_int: *만기후1개월이내:약정금리와현재금리비교후낮은금리 *만기후1개월초과:보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 우리저축은행 | fin_prdt_nm: 정기적금(월수)(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: *만기후1개월이내:약정금리와현재금리비교후낮은금리 *만기후1개월초과:보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 인성저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: -보통예금이율 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: -제한없음 | max_limit: None
kor_co_nm: 인성저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: -보통예금이율 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: -만19세이상의 개인 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: ① 만기 후 1개월 이내 : 약정금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: e-정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: ① 만기 후 1개월 이내 : 약정금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: - | join_deny: 1 | join_member: 인터넷 및 모바일뱅킹 사용자 | max_limit: None
kor_co_nm: 금화저축은행 | fin_prdt_nm: e-행복더드림정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: ① 만기 후 1개월 이내 : 약정금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: 인터넷, 모바일 전용상품 | join_deny: 1 | join_member: 인터넷 및 모바일뱅킹 사용자 | max_limit: 1000000
kor_co_nm: 금화저축은행 | fin_prdt_nm: 비대면-정기적금 | join_way: 스마트폰 | mtrt_int: ① 만기 후 1개월 이내 : 약정금리 ② 만기 후 1개월 초과 : 보통예금 이율 (0.2%) | spcl_cnd: - | join_deny: 1 | join_member: 비대면 어플사용자 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: *만기후 1개월이내 : 최초약정이율 *만기 1개월이후 : 연0.1% | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 누구나가입가능 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: 생일축하플러스정기적금 | join_way: 영업점 | mtrt_int: *만기후 1개월이내 : 최초약정이율 *만기 1개월이후 : 연0.1% | spcl_cnd: 창구전용상품 | join_deny: 1 | join_member: 누구나가입가능 | max_limit: None
kor_co_nm: 인천저축은행 | fin_prdt_nm: e-보다정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월이내 : 최초약정이율 *만기 1개월이후 : 연0.1% | spcl_cnd: 인터넷뱅킹 전용상품 | join_deny: 1 | join_member: 인터넷뱅킹가입 대상 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 - 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: 12干支정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 - 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: 생일축하정기적금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 - 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 모아저축은행 | fin_prdt_nm: e-모아 정기적금 | join_way: 인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리 - 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 대백저축은행 | fin_prdt_nm: 한마음정기적금 | join_way: 영업점 | mtrt_int: 보통예금이율(0.2%) | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
