kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: 정기예금(창구) | join_way: 영업점 | mtrt_int: 1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 실명의 개인, 법인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: E-정기예금(인터넷) | join_way: 인터넷 | mtrt_int: 1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 최고우대금리 : 0.1% / 인터넷 가입시 : 기본이율* + 0.1% (*기본이율: 가입시 12개월 정기예금 고시이율) | join_deny: 1 | join_member: 실명의 개인, 법인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: DreamBig 정기예금(12개월회전/창구) | join_way: 영업점 | mtrt_int: 1개월 이하: 최종회전일 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 최고우대금리 : 0.1% / 기본이율* + 0.1% (*기본이율: 가입시 12개월 정기예금 고시이율) / 회전주기(매 금리변경일)경과후 해지시 ①신규일부터 회전일까지는 약정이율 적용②회전주기일부터 중도해지 전일까지는 중도해지이율 적용 | join_deny: 1 | join_member: 실명의 개인, 법인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: DreamBig E-정기예금(12개월회전/인터넷) | join_way: 인터넷 | mtrt_int: 1개월 이하: 최종회전일 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 최고우대금리 : 0.1% / 기본이율* + 0.1% (*기본이율: 가입시 12개월 정기예금 고시이율) / 회전주기(매 금리변경일)경과후 해지시 ①신규일부터 회전일까지는 약정이율 적용②회전주기일부터 중도해지 전일까지는 중도해지이율 적용 | join_deny: 1 | join_member: 실명의 개인, 법인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: M-DreamBig 정기예금(12개월회전/모바일) | join_way: 스마트폰 | mtrt_int: 1개월 이하: 최종회전일 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 최고우대금리 : 0.1% / 기본이율* + 0.2% (*기본이율: 가입시 12개월 정기예금 고시이율) / 회전주기(매 금리변경일)경과후 해지시 ①신규일부터 회전일까지는 약정이율 적용②회전주기일부터 중도해지 전일까지는 중도해지이율 적용 | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: M-정기예금(모바일) | join_way: 스마트폰 | mtrt_int: 1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 최고우대금리 : 0.1% / 모바일 가입시 : 기본이율*+ 0.1% (*기본이율: 가입시 12개월 정기예금 고시이율) | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: DreamBig 정기예금(6M)(6개월회전/창구) | join_way: 영업점 | mtrt_int: 1개월 이하: 최종회전일 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 회전주기(매 금리변경일)경과후 해지시 ①신규일부터 회전일까지는 약정이율 적용②회전주기일부터 중도해지 전일까지는 중도해지이율 적용 | join_deny: 1 | join_member: 실명의 개인, 법인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: M-DreamBig 정기예금(6M)(6개월회전/모바일) | join_way: 스마트폰 | mtrt_int: 1개월 이하: 최종회전일 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 회전주기(매 금리변경일)경과후 해지시 ①신규일부터 회전일까지는 약정이율 적용②회전주기일부터 중도해지 전일까지는 중도해지이율 적용 | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: *만기후 1개월 이내(2019.07.01이후 예금가입자) : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내(2019.07.01이후 예금가입자) : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: b-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내(2019.07.01이후 예금가입자) : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: 회전정기예금 | join_way: 영업점 | mtrt_int: *만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: 비대면회전정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: 회전(6M)정기예금 | join_way: 영업점 | mtrt_int: *만기후 1개월 이내 : 최종만기시점 동일기간상품 신규 약정이율 *만기후 1개월 초과 :보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: 비대면회전(6M)정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내 : 최종만기시점 동일기간상품 신규 약정이율 *만기후 1개월 초과 :보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: * 최대우대금리 : 0.1% - 창구에서 1년이상 재예치 하는 경우 + 0.1%p | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: e-행복정기예금 (인터넷) | join_way: 인터넷 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: - 없음 | join_deny: 1 | join_member: 개인 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: 비대면정기예금 (비대면) | join_way: 스마트폰 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: - 없음 | join_deny: 1 | join_member: 개인 | max_limit: None
kor_co_nm: 민국저축은행 | fin_prdt_nm: 톡톡정기예금 (모바일) | join_way: 스마트폰 | mtrt_int: - 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리 - 1개월 이후 : 보통예금 금리 적용 | spcl_cnd: - 없음 | join_deny: 1 | join_member: 개인 | max_limit: None
kor_co_nm: 푸른상호저축은행 | fin_prdt_nm: 푸른 정기예금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기 후 보통예금 금리에 연동 (단, 만기 1개월 경과시점까지는 약정금리와 만기시점 동일상품 동일계약기간의 기본금리 중 낮은 금리 적용) | spcl_cnd: 예금 가입일 기준 예금거래기간 3년 이상, 직전 2년 평잔 10억원 이상인 고객(단, 대출관련 예금 등 제외) : 0.1%p | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: 스마트정기예금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: 회전정기예금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: e-회전정기예금 | join_way: 인터넷 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: 스마트회전정기예금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: 6개월 회전정기예금 | join_way: 영업점 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: e-6개월 회전정기예금 | join_way: 인터넷 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: HB저축은행 | fin_prdt_nm: 스마트 6개월 회전정기예금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리  - 만기 후 1개월 초과: 보통예금 금리 | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: *만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 *만기후 1개월 초과 : 만기시점 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: e-정기예금(인터넷뱅킹, 스마트뱅킹) | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 *만기후 1개월 초과 : 만기시점 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: SB톡톡 정기예금(비대면) | join_way: 스마트폰 | mtrt_int: *만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율 *만기후 1개월 초과 : 만기시점 보통예금 이율 | spcl_cnd: - | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: 회전yes정기예금(1년단위 변동금리상품) | join_way: 영업점 | mtrt_int: *만기후 1개월 이내 : 약정금리(최종회전금리) 또는 만기시 동일상품 신규 약정금리 중 낮은 금리 *만기후 1개월 초과 : 만기시점 보통예금 금리 | spcl_cnd: *회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동 *중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹) | join_way: 인터넷,스마트폰 | mtrt_int: *만기후 1개월 이내 : 약정금리(최종회전금리) 또는 만기시 동일상품 신규 약정금리 중 낮은 금리 *만기후 1개월 초과 : 만기시점 보통예금 금리 | spcl_cnd: *회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동 *중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 키움예스저축은행 | fin_prdt_nm: SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면) | join_way: 스마트폰 | mtrt_int: *만기후 1개월 이내 : 약정금리(최종회전금리) 또는 만기시 동일상품 신규 약정금리 중 낮은 금리 *만기후 1개월 초과 : 만기시점 보통예금 금리 | spcl_cnd: *회전시점의 정기예금 12개월 금리 + 우대금리 0.1% 적용, 매1년 회전주기 단위로 약정이율이 변동 *중도해지시 회전주기 충족분에는 약정이율, 잔여기간에는 중도해지이율 적용 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 더케이저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: -30일 이내 : 약정금리와 현행 고시금리중 낮은 이율 -30일 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 더케이저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: -30일 이내 : 약정금리와 현행 고시금리중 낮은 이율 -30일 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 더케이저축은행 | fin_prdt_nm: 회전식정기예금(1년단위 변동금리상품) | join_way: 영업점 | mtrt_int: -30일 이내 : 약정금리와 현행 고시금리중 낮은 이율 -30일 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 더케이저축은행 | fin_prdt_nm: e-회전식정기예금(1년단위 변동금리상품) | join_way: 인터넷,스마트폰 | mtrt_int: -30일 이내 : 약정금리와 현행 고시금리중 낮은 이율 -30일 이후 : 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 조은저축은행 | fin_prdt_nm: 정기예금(서울본점) | join_way: 영업점 | mtrt_int: - 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리 '- 1개월초과 이후 해지: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 조은저축은행 | fin_prdt_nm: 정기예금(여수지점) | join_way: 영업점 | mtrt_int: - 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리 '- 1개월초과 이후 해지: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 조은저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리 '- 1개월초과 이후 해지: 보통예금 이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 에스비아이저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 약정금리  - 만기 후 1개월 초과: 연0.2% | spcl_cnd: - 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1%  - 만기우대금리 : 연0.1% | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 에스비아이저축은행 | fin_prdt_nm: 회전정기예금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이하: 약정금리  - 만기 후 1개월 초과: 연0.2% | spcl_cnd: - 비대면(인터넷뱅킹 또는 사이다뱅크APP)우대금리 : 연0.1%  - 회전주기우대금리 : 연0.1% | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 바로저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리 * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 바로저축은행 | fin_prdt_nm: 스마트정기예금(인터넷) | join_way: 인터넷 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리 * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 바로저축은행 | fin_prdt_nm: SB톡톡 정기예금(비대면) | join_way: 스마트폰 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리 * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 바로저축은행 | fin_prdt_nm: 바로6개월 정기예금 | join_way: 영업점 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리 * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 바로저축은행 | fin_prdt_nm: 바로6개월 정기예금(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: * 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리 * 만기후 1개월 초과 : 보통예금 금리 | spcl_cnd: 해당없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 정기예금 (대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 정기예금 (비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 리볼빙 정기예금 (대면) | join_way: 영업점 | mtrt_int: - 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 리볼빙 정기예금 (비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 자유해지 정기예금(변동) (대면) | join_way: 영업점 | mtrt_int: - 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 자유해지 정기예금(변동) (비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 하이브리드 정기예금 (대면) | join_way: 영업점 | mtrt_int: - 1개월 까지 : 당초 기본금리와 만기시점 기본금리를 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 하이브리드 정기예금 (비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 1개월 까지 : 당초 기본금리와 만기시점 기본금리를 비교하여 낮은 금리 적용 - 1개월 초과 : 연0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 리볼빙 정기예금(6M)(대면) | join_way: 영업점 | mtrt_int: - 만기후 1개월이내 : 마지막 회전도래시 약정이율 또는 만기시점 동일상품의 신규 약정이율 중 낮은 이율 - 만기후 1개월초과 : 연 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 다올저축은행 | fin_prdt_nm: Fi 리볼빙 정기예금(6M)(비대면) | join_way: 인터넷,스마트폰 | mtrt_int: - 만기후 1개월이내 : 마지막 회전도래시 약정이율 또는 만기시점 동일상품의 신규 약정이율 중 낮은 이율 - 만기후 1개월초과 : 연 0.1% | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 유안타저축은행 | fin_prdt_nm: e-정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: 만기후 1개월이하: 약정금리와 현행금리 중 낮은 금리 만기후 1개월초과: 현행 보통예금금리 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
